hex_id,local_temp_c,elevation_m
134,12.145945945945947,1603.0
135,14.727027027027026,1337.0
136,12.748648648648649,1420.0
137,14.51891891891892,1357.0
138,10.586486486486486,1928.0
139,14.675675675675675,984.0
140,15.181081081081082,809.0
141,14.886486486486485,878.0
142,14.79189189189189,807.0
143,16.13243243243243,667.0
144,15.643243243243242,512.0
145,15.627027027027028,396.0
146,16.181081081081082,203.0
147,16.486486486486488,139.0
148,17.154054054054054,111.0
149,16.502702702702702,126.0
150,15.675675675675675,79.0
151,15.886486486486485,32.0
152,15.42972972972973,78.0
153,15.397297297297298,105.0
154,15.243243243243244,105.0
155,15.097297297297297,55.0
156,14.97837837837838,91.0
157,14.943243243243243,77.0
158,14.54054054054054,93.0
159,14.713513513513513,107.0
160,14.5,55.0
161,14.364864864864865,100.0
162,14.597297297297297,65.0
163,14.589189189189188,32.0
164,13.81891891891892,0.0
165,18.256756756756758,880.0
166,15.52972972972973,1261.0
167,13.05945945945946,1404.0
168,13.464864864864865,1301.0
169,12.50810810810811,1448.0
170,13.78918918918919,1310.0
171,13.04054054054054,1226.0
172,12.77027027027027,1399.0
173,13.95945945945946,1415.0
174,13.848648648648648,1100.0
175,13.897297297297298,974.0
176,13.883783783783786,773.0
177,14.867567567567567,655.0
178,15.370270270270272,564.0
179,15.572972972972973,471.0
180,15.74054054054054,323.0
181,16.08108108108108,187.0
182,16.45405405405405,127.0
183,16.383783783783784,182.0
184,15.889189189189189,112.0
185,15.840540540540541,71.0
186,15.232432432432432,79.0
187,14.686486486486485,46.0
188,14.64864864864865,54.0
189,14.3,124.0
190,14.01891891891892,161.0
191,14.154054054054056,35.0
192,14.35135135135135,39.0
193,14.056756756756757,137.0
194,13.881081081081081,104.0
195,13.932432432432432,89.0
196,13.972972972972974,96.0
197,13.59189189189189,57.0
198,13.772972972972974,11.0
199,18.910810810810812,327.0
200,17.427027027027027,556.0
201,17.91891891891892,801.0
202,10.397297297297296,1916.0
203,13.5,1276.0
204,11.964864864864865,1326.0
205,11.805405405405406,1573.0
206,12.083783783783785,1333.0
207,12.48918918918919,1224.0
208,12.037837837837838,1549.0
209,12.516216216216216,1101.0
210,12.367567567567567,1152.0
211,12.613513513513514,970.0
212,14.35135135135135,775.0
213,14.694594594594596,573.0
214,14.618918918918919,447.0
215,14.870270270270272,343.0
216,14.772972972972974,243.0
217,15.86216216216216,209.0
218,15.07027027027027,158.0
219,15.305405405405404,122.0
220,15.90810810810811,62.0
221,14.805405405405404,85.0
222,14.213513513513513,41.0
223,13.456756756756755,34.0
224,13.651351351351352,96.0
225,13.294594594594594,154.0
